EEG data shape: (34, 340000)
fMRI data shape: (64, 64, 32, 170)
EEG duration (seconds): 340.0
fMRI duration (seconds): 340
STFT data shape: (34, 1001, 341)
Vol 147: start_idx = 268000, end_idx = 288000, stft_data.shape[2] = 341
Vol 148: start_idx = 270000, end_idx = 290000, stft_data.shape[2] = 341
Vol 149: start_idx = 272000, end_idx = 292000, stft_data.shape[2] = 341
Vol 150: start_idx = 274000, end_idx = 294000, stft_data.shape[2] = 341
Vol 151: start_idx = 276000, end_idx = 296000, stft_data.shape[2] = 341
Vol 152: start_idx = 278000, end_idx = 298000, stft_data.shape[2] = 341
Vol 153: start_idx = 280000, end_idx = 300000, stft_data.shape[2] = 341
Vol 154: start_idx = 282000, end_idx = 302000, stft_data.shape[2] = 341
Vol 155: start_idx = 284000, end_idx = 304000, stft_data.shape[2] = 341
Vol 156: start_idx = 286000, end_idx = 306000, stft_data.shape[2] = 341
Vol 157: start_idx = 288000, end_idx = 308000, stft_data.shape[2] = 341
Vol 158: start_idx = 290000, end_idx = 310000, stft_data.shape[2] = 341
Vol 159: start_idx = 292000, end_idx = 312000, stft_data.shape[2] = 341
Vol 160: start_idx = 294000, end_idx = 314000, stft_data.shape[2] = 341
Vol 161: start_idx = 296000, end_idx = 316000, stft_data.shape[2] = 341
Vol 162: start_idx = 298000, end_idx = 318000, stft_data.shape[2] = 341
Vol 163: start_idx = 300000, end_idx = 320000, stft_data.shape[2] = 341
Vol 164: start_idx = 302000, end_idx = 322000, stft_data.shape[2] = 341
Vol 165: start_idx = 304000, end_idx = 324000, stft_data.shape[2] = 341
Vol 166: start_idx = 306000, end_idx = 326000, stft_data.shape[2] = 341
Vol 167: start_idx = 308000, end_idx = 328000, stft_data.shape[2] = 341
Vol 168: start_idx = 310000, end_idx = 330000, stft_data.shape[2] = 341
Vol 169: start_idx = 312000, end_idx = 332000, stft_data.shape[2] = 341
EEG data shape (x): (0,)
fMRI data shape (y): (0,)
